"x","y","dates"
49.29062,-23.8793617,2018-12-20
49.29003,-23.88003,2018-12-20
49.2890133,-23.8815883,2018-12-20
49.2878167,-23.8829267,2018-12-20
49.2865917,-23.883935,2018-12-20
49.2853017,-23.8859817,2018-12-20
49.28416,-23.88759,2018-12-20
49.28292,-23.889625,2018-12-20
49.2816967,-23.891895,2018-12-20
49.2805433,-23.8936217,2018-12-20
49.2794167,-23.8952633,2018-12-20
49.2785067,-23.89738,2018-12-20
49.2770917,-23.899505,2018-12-20
49.275595,-23.9015767,2018-12-20
49.2739317,-23.9026117,2018-12-20
49.2737583,-23.905555,2018-12-20
49.2728117,-23.9078667,2018-12-20
49.27125,-23.9097333,2018-12-20
49.2716817,-23.9121033,2018-12-20
49.27405,-23.9185733,2018-12-20
49.2742883,-23.9198017,2018-12-20
49.2731283,-23.920735,2018-12-20
49.2728867,-23.9237083,2018-12-20
49.2725017,-23.9260233,2018-12-20
49.2729917,-23.928755,2018-12-20
49.2723383,-23.93082,2018-12-20
49.2719883,-23.9334533,2018-12-20
49.2719717,-23.936205,2018-12-20
49.2723883,-23.93937,2018-12-20
49.2740267,-23.9418633,2018-12-20
49.2742933,-23.9443117,2018-12-20
49.2746017,-23.9470183,2018-12-20
49.255975,-23.9507083,2018-12-20
49.2006033,-23.9531933,2018-12-20
49.1823933,-23.9610617,2018-12-20
49.148885,-23.9568383,2018-12-20
49.1569533,-23.9481683,2018-12-20
49.1376617,-23.9331483,2018-12-20
49.086525,-23.9258267,2018-12-20
49.0368283,-23.9421367,2018-12-20
48.9860517,-23.9471533,2018-12-20
48.9348017,-23.9387917,2018-12-20
48.88456,-23.9354917,2018-12-20
48.8237933,-23.9391917,2018-12-20
48.7616433,-23.9443383,2018-12-20
48.7086967,-23.9524617,2018-12-20
48.654745,-23.9729583,2018-12-20
48.5943833,-23.966045,2018-12-20
48.5314317,-24.6524233,2018-12-20
48.5032883,-25.18898,2018-12-21
48.5187983,-25.1800317,2018-12-21
48.5268017,-25.1746533,2018-12-21
48.5351833,-25.17242,2018-12-21
48.5436667,-25.165985,2018-12-21
48.5842667,-25.1360983,2018-12-21
48.6042033,-25.1327017,2018-12-21
48.6185417,-25.1277617,2018-12-21
48.624565,-25.1258733,2018-12-21
48.6181433,-25.1266033,2018-12-21
48.6069133,-25.1350333,2018-12-21
48.59494,-25.14956,2018-12-21
48.5786783,-25.1509133,2018-12-21
48.5635117,-25.1459817,2018-12-21
48.547415,-25.1328133,2018-12-21
48.6509433,-25.2737217,2018-12-21
48.638895,-25.26551,2018-12-21
48.62914,-25.2839667,2018-12-21
48.6290833,-25.2977733,2018-12-21
48.6302233,-25.297525,2018-12-21
48.6214133,-25.309395,2018-12-21
48.61517,-25.3260117,2018-12-21
48.6111967,-25.3424283,2018-12-21
48.5994217,-25.3529833,2018-12-21
48.5780167,-25.3644817,2018-12-21
48.58106,-25.3781817,2018-12-21
48.57688,-25.3791383,2018-12-21
48.571995,-25.383955,2018-12-21
48.553895,-25.388745,2018-12-21
48.53921,-25.3913733,2018-12-21
48.5254583,-25.394965,2018-12-21
48.5235567,-25.3961833,2018-12-21
48.5163783,-25.3983183,2018-12-21
48.5047633,-25.40605,2018-12-21
48.49326,-25.4069417,2018-12-21
48.494755,-25.4014383,2018-12-21
48.49169,-25.4056133,2018-12-21
48.49552,-25.4015267,2018-12-21
48.4967267,-25.404575,2018-12-21
48.49666,-25.408345,2018-12-21
48.5015683,-25.4052917,2018-12-21
48.5002567,-25.4026883,2018-12-21
48.49695,-25.4008317,2018-12-21
48.500895,-25.392625,2018-12-21
48.53496,-25.3367417,2018-12-21
48.533105,-25.330115,2018-12-21
48.517675,-25.3218567,2018-12-21
48.5119617,-25.3126283,2018-12-21
48.49739,-25.3036533,2018-12-21
48.480365,-25.2961517,2018-12-21
48.4679383,-25.28265,2018-12-21
48.4445683,-25.277735,2018-12-21
48.4331817,-25.269715,2018-12-21
48.4197633,-25.2668017,2018-12-21
48.404685,-25.2585933,2018-12-21
48.4024717,-25.249115,2018-12-21
48.3918467,-25.2476133,2018-12-21
48.400485,-25.237045,2018-12-21
48.40551,-25.2300817,2018-12-21
48.4120567,-25.21491,2018-12-21
48.393845,-25.2110283,2018-12-22
48.3947317,-25.2045183,2018-12-22
48.3896933,-25.1939983,2018-12-22
48.40207,-25.1780367,2018-12-22
48.4040583,-25.1660517,2018-12-22
48.4135817,-25.1569533,2018-12-22
48.4177367,-25.14437,2018-12-22
48.4193683,-25.1277333,2018-12-22
48.4255467,-25.1191517,2018-12-22
48.4295767,-25.1105083,2018-12-22
48.4384967,-25.1109833,2018-12-22
48.4503567,-25.1221317,2018-12-22
48.4363933,-25.1365567,2018-12-22
48.4532933,-25.1119017,2018-12-22
48.4666583,-25.1216667,2018-12-22
48.479385,-25.1340383,2018-12-22
48.4861617,-25.1382617,2018-12-22
48.487045,-25.1485067,2018-12-22
48.6618917,-24.9283733,2018-12-22
48.65964,-24.9214283,2018-12-22
48.6609467,-24.9178217,2018-12-22
48.6637917,-24.9158233,2018-12-22
48.6775733,-24.9244733,2018-12-22
48.700755,-24.9289567,2018-12-22
48.7165333,-24.93382,2018-12-22
48.73575,-24.9402533,2018-12-22
48.7552283,-24.9420433,2018-12-22
48.7855,-24.938825,2018-12-22
48.7797383,-24.9343833,2018-12-22
48.77652,-24.939405,2018-12-22
48.8017933,-24.9426617,2018-12-22
48.8326517,-24.9449433,2018-12-22
48.842345,-24.943345,2018-12-22
48.8494383,-24.9409867,2018-12-22
48.861235,-24.9371233,2018-12-22
48.887865,-24.9404267,2018-12-22
48.922155,-24.9395417,2018-12-22
48.936935,-24.9481483,2018-12-22
48.9457633,-24.9586233,2018-12-22
48.9325967,-24.981265,2018-12-22
48.918475,-24.995505,2018-12-22
48.9104833,-24.983415,2018-12-22
48.9123767,-24.979785,2018-12-22
48.9299133,-24.968965,2018-12-22
48.9474317,-24.9669567,2018-12-22
48.9599267,-24.9649883,2018-12-22
